Deal ID,Company ID,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Current Financing Status,Current Business Status,Universe,CEO PBId,CEO Education,Deal No.,Deal ID,Announced Date,Deal Date,Deal Size,Deal Size Status,Pre-money Valuation,Post Valuation,Post Valuation Status,% Acquired,Raised to Date,VC Round,VC Round Up/Down/Flat,Price per Share,Series,Deal Type,Deal Type 2,Deal Type 3,Deal Class,Total Invested Equity,Debt Type,Debt Type 2,Debt Type 3,Debt Amount 1,Debt Amount 2,Debt Amount 3,Debt Raised in Round,Contingent Payout,Deal Status,Business Status,Financing Status,Employees,# Investors,# New Investors,# Follow-on Investors,Implied EV,Revenue,Revenue Growth since last debt deal,Gross Profit,Net Income,EBITDA,EBIT,Total Debt (from financials),Fiscal Year,Valuation/EBITDA,Valuation/EBIT,Valuation/Net Income,Valuation/Revenue,Valuation/Cash Flow,Deal Size/EBITDA,Deal Size/EBIT,Deal Size/Net Income,Deal Size/Revenue,Deal Size/Cash Flow,Debt/EBITDA,Debt/Equity,Implied EV/EBITDA,Implied EV/EBIT,Implied EV/Net Income,Implied EV/Revenue,Implied EV/Cash Flow,EBITDA Margin %,Current Employees,Native Currency of Deal,HQ Location,HQ Global Region,HQ Global Sub Region,Company City,Company State/Province,Company Post Code,Company Country,Year Founded
72509-68T,161995-96,Information Technology,Software,Multimedia and Design Software,Multimedia and Design Software*,"CloudTech & DevOps, TMT, Virtual Reality","3d capture systems, 4d video, cinema action, live action software, virtual reality, vr content",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",139509-82P,"San Diego State University, MSW (Master of Social Work), 2003",2,72509-68T,,01-Jan-2016,,,,,,,2.00,,,,,Accelerator/Incubator,,,Other,,,,,,,,,,Completed,Generating Revenue,Accelerator/Incubator Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,US Dollars (USD),"San Diego, CA",Americas,North America,San Diego,California,92108,United States,2015
72509-77T,161995-96,Information Technology,Software,Multimedia and Design Software,Multimedia and Design Software*,"CloudTech & DevOps, TMT, Virtual Reality","3d capture systems, 4d video, cinema action, live action software, virtual reality, vr content",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",139509-82P,"San Diego State University, MSW (Master of Social Work), 2003",1,72509-77T,,01-Oct-2015,2.00,Actual,,,,,2.00,Angel,,,,Angel (individual),Angel (individual),,Individual,2.00,,,,,,,,,Completed,Generating Revenue,Angel-Backed,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,US Dollars (USD),"San Diego, CA",Americas,North America,San Diego,California,92108,United States,2015
81534-43T,161995-96,Information Technology,Software,Multimedia and Design Software,Multimedia and Design Software*,"CloudTech & DevOps, TMT, Virtual Reality","3d capture systems, 4d video, cinema action, live action software, virtual reality, vr content",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",155397-52P,,4,81534-43T,21-Jul-2016,20-Jan-2017,0.63,Actual,,,,,3.43,Angel,,,,Angel (individual),Angel (individual),,Individual,,Bridge,,,0.63,,,0.63,,Completed,Generating Revenue,Angel-Backed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,US Dollars (USD),"San Diego, CA",Americas,North America,San Diego,California,92108,United States,2015
100414-99T,161995-96,Information Technology,Software,Multimedia and Design Software,Multimedia and Design Software*,"CloudTech & DevOps, TMT, Virtual Reality","3d capture systems, 4d video, cinema action, live action software, virtual reality, vr content",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",139509-82P,"San Diego State University, MSW (Master of Social Work), 2003",5,100414-99T,19-Nov-2017,17-Mar-2020,3.29,Actual,,,,,6.72,1st Round,,,,Early Stage VC,,,Venture Capital,3.29,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,US Dollars (USD),"San Diego, CA",Americas,North America,San Diego,California,92108,United States,2015
62703-82T,149161-96,Information Technology,Software,Software Development Applications,"Other Information Technology, Software Development Applications*","CloudTech & DevOps, TMT","data compression software, networking software, software algorithm",Formerly Angel backed,Out of Business,Pre-venture,122267-98P,,1,62703-82T,,08-Dec-2015,0.08,Actual,,,,,0.08,1st Round,,,,Seed Round,Seed Round,,Individual,0.08,,,,,,,,,Completed,Startup,Angel-Backed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US Dollars (USD),"McKinney, TX",Americas,North America,McKinney,Texas,75070,United States,2015
127920-79T,343695-97,Information Technology,Software,Network Management Software,Network Management Software*,"CloudTech & DevOps, Cybersecurity","cloud computing security, industrial internet security, internet network security, internet security, network security",Venture Capital-Backed,Generating Revenue,Venture Capital,217144-63P,,1,127920-79T,,11-Dec-2018,,,,,,,,1st Round,,,Series A,Early Stage VC,Series A,,Venture Capital,,,,,,,,,,Completed,Startup,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Yuan RMB (CNY),"Beijing, China",Asia,East Asia,Beijing,,,China,2018
135381-43T,343695-97,Information Technology,Software,Network Management Software,Network Management Software*,"CloudTech & DevOps, Cybersecurity","cloud computing security, industrial internet security, internet network security, internet security, network security",Venture Capital-Backed,Generating Revenue,Venture Capital,217144-63P,,2,135381-43T,,21-Apr-2020,,,,,,,,2nd Round,,,Series B,Early Stage VC,Series B,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Yuan RMB (CNY),"Beijing, China",Asia,East Asia,Beijing,,,China,2018
139836-25T,343695-97,Information Technology,Software,Network Management Software,Network Management Software*,"CloudTech & DevOps, Cybersecurity","cloud computing security, industrial internet security, internet network security, internet security, network security",Venture Capital-Backed,Generating Revenue,Venture Capital,217144-63P,,3,139836-25T,,17-Jul-2020,,,,,,,,3rd Round,,,,Early Stage VC,,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Yuan RMB (CNY),"Beijing, China",Asia,East Asia,Beijing,,,China,2018
63036-10T,55201-69,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Telecommunications Service Providers","CloudTech & DevOps, SaaS, TMT","commercial networking platform, mobile infrastructure, multi-core software, packet processing software, wireless service",Venture Capital-Backed,Generating Revenue,Venture Capital,43733-98P,"Degree, 1983, Electronics; Degree, 1984, Networking",3,63036-10T,,06-Jul-2015,,,,,,,12.97,3rd Round,,,,Later Stage VC,,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,66,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,Euros (EUR),"Montigny-le-Bretonneux, France",Europe,Western Europe,Montigny-le-Bretonneux,,78180,France,2000
126974-80T,343215-91,Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,"CloudTech & DevOps, Cybersecurity, SaaS","devops, devops security, devops security software, open source security",Venture Capital-Backed,Generating Revenue,Venture Capital,216060-22P,,1,126974-80T,,25-Nov-2019,,,,,,,,1st Round,,,Series A,Early Stage VC,Series A,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Yuan RMB (CNY),"Suzhou, China",Asia,East Asia,Suzhou,Jiangsu,,China,2016
