Deal ID,Company ID,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Current Financing Status,Current Business Status,Universe,CEO PBId,CEO Education,Deal No.,Deal ID,Announced Date,Deal Date,Deal Size,Deal Size Status,Pre-money Valuation,Post Valuation,Post Valuation Status,% Acquired,Raised to Date,VC Round,VC Round Up/Down/Flat,Price per Share,Series,Deal Type,Deal Type 2,Deal Type 3,Deal Class,Total Invested Equity,Debt Type,Debt Type 2,Debt Type 3,Debt Amount 1,Debt Amount 2,Debt Amount 3,Debt Raised in Round,Contingent Payout,Deal Status,Business Status,Financing Status,Employees,# Investors,# New Investors,# Follow-on Investors,Implied EV,Revenue,Revenue Growth since last debt deal,Gross Profit,Net Income,EBITDA,EBIT,Total Debt (from financials),Fiscal Year,Valuation/EBITDA,Valuation/EBIT,Valuation/Net Income,Valuation/Revenue,Valuation/Cash Flow,Deal Size/EBITDA,Deal Size/EBIT,Deal Size/Net Income,Deal Size/Revenue,Deal Size/Cash Flow,Debt/EBITDA,Debt/Equity,Implied EV/EBITDA,Implied EV/EBIT,Implied EV/Net Income,Implied EV/Revenue,Implied EV/Cash Flow,EBITDA Margin %,Current Employees,Native Currency of Deal,HQ Location,HQ Global Region,HQ Global Sub Region,Company City,Company State/Province,Company Post Code,Company Country,Year Founded
122440-51T,277450-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","CloudTech & DevOps, SaaS","application design, application development, application development kits, serverless application, serverless development platform",Venture Capital-Backed,Generating Revenue,Venture Capital,209467-45P,,3,122440-51T,,10-Jul-2019,3.51,Actual,10.50,14.00,Estimated,25.00%,3.51,2nd Round,,7.85,,Seed Round,Seed Round,,Venture Capital,3.51,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US Dollars (USD),"Palo Alto, CA",Americas,North America,Palo Alto,California,94306,United States,2018
122252-41T,277450-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","CloudTech & DevOps, SaaS","application design, application development, application development kits, serverless application, serverless development platform",Venture Capital-Backed,Generating Revenue,Venture Capital,209467-45P,,2,122252-41T,,01-May-2019,,,,,,,,,,,,Accelerator/Incubator,,,Other,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US Dollars (USD),"Palo Alto, CA",Americas,North America,Palo Alto,California,94306,United States,2018
122252-68T,277450-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","CloudTech & DevOps, SaaS","application design, application development, application development kits, serverless application, serverless development platform",Venture Capital-Backed,Generating Revenue,Venture Capital,209467-45P,,1,122252-68T,,01-Jan-2018,,,,,,,,1st Round,,,,Seed Round,Seed Round,,Venture Capital,,,,,,,,,,Completed,Startup,Venture Capital-Backed,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US Dollars (USD),"Palo Alto, CA",Americas,North America,Palo Alto,California,94306,United States,2018
125793-46T,163075-15,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","cloud application, cloud native, cloudtech and devops, coding assistance, microservice monitoring, microservices architecture, microservices systems, software architecture",Private Equity-Backed,Generating Revenue,"Private Equity, Venture Capital",78393-07P,"Harvard Business School, Degree, 2010; Massachusetts Institute of Technology (MIT), BS (Bachelor of Science), Computer Science; Massachusetts Institute of Technology (MIT), ME (Master of Engineering), Computer Science",3,125793-46T,17-Oct-2019,01-Nov-2019,4.00,Actual,12.00,16.00,Actual,25.00%,4.25,3rd Round,,2.83,Series A1,Early Stage VC,Series A1,,Venture Capital,4.00,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US Dollars (USD),"Boston, MA",Americas,North America,Boston,Massachusetts,02111,United States,2014
133659-10T,62307-28,Information Technology,Software,Database Software,"Database Software*, Media and Information Services (B2B), Multimedia and Design Software, Social/Platform Software","Big Data, CloudTech & DevOps, Mobile, SaaS, TMT","data collection, geospatial technology, location data, location tracking platform, location tracking tools, mapping software, real time tracking",Formerly VC-backed,Generating Revenue,Venture Capital,79257-70P,"BS (Bachelor of Science), 2002, Computer Science",6,133659-10T,,24-Sep-2018,3.00,Actual,,,,,3.77,3rd Round,,,,Early Stage VC,,,Venture Capital,3.00,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,US Dollars (USD),"Seattle, WA",Americas,North America,Seattle,Washington,98105,United States,2013
85974-13T,82460-71,Information Technology,IT Services,Systems and Information Management,"IT Consulting and Outsourcing, Systems and Information Management*","CloudTech & DevOps, TMT","cloud integration, cloud management platform, cloud storage, cloud storage tools, cloud testing platform, outsourced software development, storage platform",Venture Capital-Backed,Generating Revenue,Venture Capital,49516-30P,"Degree, Business Studies; Graduate; MBA (Master of Business Administration), 1992, Business Administration; National University of Ireland, B.Comm (Bachelor of Commerce), 1980, Marketing; Postgraduate Degree, Computer Sciences and Management",3,85974-13T,,31-Jan-2017,0.12,Actual,1.28,1.39,Actual,8.42%,0.67,2nd Round,Flat Round,60.70,,Later Stage VC,,,Venture Capital,0.12,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,27,British Pounds (GBP),"Belfast, United Kingdom",Europe,Western Europe,Belfast,Northern Ireland,BT12 5GH,United Kingdom,2002
112684-06T,82460-71,Information Technology,IT Services,Systems and Information Management,"IT Consulting and Outsourcing, Systems and Information Management*","CloudTech & DevOps, TMT","cloud integration, cloud management platform, cloud storage, cloud storage tools, cloud testing platform, outsourced software development, storage platform",Venture Capital-Backed,Generating Revenue,Venture Capital,49516-30P,"Degree, Business Studies; Graduate; MBA (Master of Business Administration), 1992, Business Administration; National University of Ireland, B.Comm (Bachelor of Commerce), 1980, Marketing; Postgraduate Degree, Computer Sciences and Management",2,112684-06T,,17-Nov-2016,0.13,Actual,,,,,0.55,,,,,Grant,,,Other,,,,,,,,,,Completed,Generating Revenue,Corporation,,1,1,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,27,British Pounds (GBP),"Belfast, United Kingdom",Europe,Western Europe,Belfast,Northern Ireland,BT12 5GH,United Kingdom,2002
131244-58T,113037-94,Information Technology,IT Services,Systems and Information Management,"Business/Productivity Software, Information Services (B2C), Systems and Information Management*","CloudTech & DevOps, SaaS","business application, graphical interface, information management, saas-based, web application",Angel-Backed,Generating Revenue,Pre-venture,221811-40P,,1,131244-58T,,01-Jan-2015,,,,,,,,Angel,,,,Angel (individual),Angel (individual),,Individual,,,,,,,,,,Completed,Generating Revenue,Angel-Backed,,1,1,,,1.30,,1.04,0.03,0.08,(0.12),0.00,2014,,,,,,,,,,,,,,,,,,6.23%,,Euros (EUR),"Paris, France",Europe,Western Europe,Paris,,75011,France,1998
93416-41T,56996-11,Information Technology,Software,Business/Productivity Software,"Automation/Workflow Software, Business/Productivity Software*","Big Data, CloudTech & DevOps, TMT","analytics software application, online analytics software, open source analytics application, open source analytics software, scalable data platform",Venture Capital-Backed,Profitable,Venture Capital,49524-58P,"Queen's University, BE (Bachelor of Engineering), Software Engineering; Queen's University, Ph.D. (Doctor of Philosophy), Electronic System Design",3,93416-41T,,04-Jul-2017,0.83,Actual,4.40,5.24,Actual,15.90%,2.26,3rd Round,Up Round,63.91,,Later Stage VC,,,Venture Capital,0.83,,,,,,,,,Completed,Profitable,Venture Capital-Backed,,1,,1,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,20,British Pounds (GBP),"Belfast, United Kingdom",Europe,Western Europe,Belfast,Northern Ireland,BT9 5DJ,United Kingdom,2008
123766-21T,56996-11,Information Technology,Software,Business/Productivity Software,"Automation/Workflow Software, Business/Productivity Software*","Big Data, CloudTech & DevOps, TMT","analytics software application, online analytics software, open source analytics application, open source analytics software, scalable data platform",Venture Capital-Backed,Profitable,Venture Capital,49524-58P,"Queen's University, BE (Bachelor of Engineering), Software Engineering; Queen's University, Ph.D. (Doctor of Philosophy), Electronic System Design",5,123766-21T,,03-Jul-2019,0.70,Actual,3.68,4.38,Actual,15.91%,3.60,5th Round,Up Round,23.78,,Later Stage VC,,,Venture Capital,0.70,,,,,,,,,Completed,Profitable,Venture Capital-Backed,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,20,British Pounds (GBP),"Belfast, United Kingdom",Europe,Western Europe,Belfast,Northern Ireland,BT9 5DJ,United Kingdom,2008
123765-94T,56996-11,Information Technology,Software,Business/Productivity Software,"Automation/Workflow Software, Business/Productivity Software*","Big Data, CloudTech & DevOps, TMT","analytics software application, online analytics software, open source analytics application, open source analytics software, scalable data platform",Venture Capital-Backed,Profitable,Venture Capital,,,4,123765-94T,,20-Dec-2018,0.64,Actual,0.89,1.52,Actual,41.76%,2.90,4th Round,Down Round,9.97,,Later Stage VC,,,Venture Capital,0.64,,,,,,,,,Completed,Profitable,Venture Capital-Backed,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,20,British Pounds (GBP),"Belfast, United Kingdom",Europe,Western Europe,Belfast,Northern Ireland,BT9 5DJ,United Kingdom,2008
69756-94T,56548-00,Information Technology,Communications and Networking,Telecommunications Service Providers,"Communication Software, Telecommunications Service Providers*","CloudTech & DevOps, Mobile, TMT","messaging technologies, messaging technology developer, mobile message management, mobile messaging network, mobile messaging technology",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",48365-02P,"Diploma, 1994, Business Administration & Management",3,69756-94T,,16-Feb-2016,,,,,,,21.41,3rd Round,,,,Later Stage VC,,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,80,Euros (EUR),"Dublin, Ireland",Europe,Western Europe,Dublin,,D01 VY76,Ireland,1999
77193-64T,156666-25,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Network Management Software, Software Development Applications*","CloudTech & DevOps, Cybersecurity, SaaS, TMT","cloud native, cloudtech, compliance platform, container security, container security platform, open container security, production deployment, public container registries, software engineering, vulnerability scanning, web container, web container based tool",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",52715-44P,"Northeastern University, BS (Bachelor of Science), 1990, Electrical Engineering; Northeastern University, Master's, 1992, Information Systems; Ph.D. (Doctor of Philosophy)",3,77193-64T,20-Sep-2016,06-Oct-2016,5.00,Actual,15.00,18.00,Actual,16.67%,7.25,2nd Round,Up Round,0.72,,Seed Round,Seed Round,,Venture Capital,3.00,Other,,,2.00,,,2.00,,Completed,Generating Revenue,Angel-Backed,9,2,,2,,,,,,,,,,,,,,,,,,,,,0.67x,,,,,,,51,US Dollars (USD),"Santa Barbara, CA",Americas,North America,Santa Barbara,California,93101,United States,2015
68604-85T,156666-25,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Network Management Software, Software Development Applications*","CloudTech & DevOps, Cybersecurity, SaaS, TMT","cloud native, cloudtech, compliance platform, container security, container security platform, open container security, production deployment, public container registries, software engineering, vulnerability scanning, web container, web container based tool",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",52715-44P,"Northeastern University, BS (Bachelor of Science), 1990, Electrical Engineering; Northeastern University, Master's, 1992, Information Systems; Ph.D. (Doctor of Philosophy)",1,68604-85T,14-Dec-2015,06-Apr-2016,2.25,Actual,6.75,9.00,Actual,25.00%,2.25,1st Round,,0.44,,Seed Round,Seed Round,,Individual,2.25,,,,,,,,,Completed,Generating Revenue,Angel-Backed,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,US Dollars (USD),"Santa Barbara, CA",Americas,North America,Santa Barbara,California,93101,United States,2015
119062-00T,156666-25,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Network Management Software, Software Development Applications*","CloudTech & DevOps, Cybersecurity, SaaS, TMT","cloud native, cloudtech, compliance platform, container security, container security platform, open container security, production deployment, public container registries, software engineering, vulnerability scanning, web container, web container based tool",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",52715-44P,"Northeastern University, BS (Bachelor of Science), 1990, Electrical Engineering; Northeastern University, Master's, 1992, Information Systems; Ph.D. (Doctor of Philosophy)",4,119062-00T,17-May-2019,22-Jan-2020,20.50,Actual,,,,9.09%,27.75,3rd Round,,1.16,Series A,Later Stage VC,Series A,,Venture Capital,20.50,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,16,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,US Dollars (USD),"Santa Barbara, CA",Americas,North America,Santa Barbara,California,93101,United States,2015
135874-99T,434673-10,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Legal Services (B2B)","Big Data, CloudTech & DevOps, SaaS","intellectual property product, intellectual property protection, ip infringement, ip protection, legal service",Venture Capital-Backed,Generating Revenue,Venture Capital,228969-46P,Executive MBA,1,135874-99T,,30-Apr-2020,,,,,,,,1st Round,,,,Later Stage VC,,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Yuan RMB (CNY),"Shenzhen, China",Asia,East Asia,Shenzhen,Guangdong,,China,2013
155556-64T,231373-00,Information Technology,Software,Software Development Applications,"Multimedia and Design Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","code-based reference, coding software, software development coding, web development, website coding",Venture Capital-Backed,Generating Revenue,Venture Capital,190252-63P,,2,155556-64T,,03-Sep-2020,2.50,Actual,6.00,8.50,Actual,29.41%,2.62,1st Round,,0.69,,Seed Round,Seed Round,,Venture Capital,2.50,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,15,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,US Dollars (USD),"Newark, DE",Americas,North America,Newark,Delaware,19702,United States,2017
109568-71T,231373-00,Information Technology,Software,Software Development Applications,"Multimedia and Design Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","code-based reference, coding software, software development coding, web development, website coding",Venture Capital-Backed,Generating Revenue,Venture Capital,190252-63P,,1,109568-71T,,06-Jul-2018,0.12,Actual,1.59,1.71,Actual,7.00%,0.12,,,,,Accelerator/Incubator,,,Other,0.12,,,,,,,,,Completed,Generating Revenue,Accelerator/Incubator Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,US Dollars (USD),"Newark, DE",Americas,North America,Newark,Delaware,19702,United States,2017
140097-88T,437407-12,Information Technology,Software,Network Management Software,"Network Management Software*, Systems and Information Management","Big Data, CloudTech & DevOps, Cybersecurity","big data, data security, data security solutions, database security, database support",Venture Capital-Backed,Generating Revenue,Venture Capital,236023-93P,,1,140097-88T,,12-Jan-2016,,,,2.31,Actual,,,1st Round,,,,Later Stage VC,,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Yuan RMB (CNY),"Shenzhen, China",Asia,East Asia,Shenzhen,Guangdong,,China,2009
140098-06T,437407-12,Information Technology,Software,Network Management Software,"Network Management Software*, Systems and Information Management","Big Data, CloudTech & DevOps, Cybersecurity","big data, data security, data security solutions, database security, database support",Venture Capital-Backed,Generating Revenue,Venture Capital,236023-93P,,2,140098-06T,,16-Oct-2017,,,,,,,,2nd Round,,,Series A,Later Stage VC,Series A,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Yuan RMB (CNY),"Shenzhen, China",Asia,East Asia,Shenzhen,Guangdong,,China,2009
140098-24T,437407-12,Information Technology,Software,Network Management Software,"Network Management Software*, Systems and Information Management","Big Data, CloudTech & DevOps, Cybersecurity","big data, data security, data security solutions, database security, database support",Venture Capital-Backed,Generating Revenue,Venture Capital,236023-93P,,3,140098-24T,,22-Jul-2020,,,,,,,,3rd Round,,,,Later Stage VC,,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Yuan RMB (CNY),"Shenzhen, China",Asia,East Asia,Shenzhen,Guangdong,,China,2009
127148-32T,343290-61,Information Technology,Software,Software Development Applications,"IT Consulting and Outsourcing, Software Development Applications*","CloudTech & DevOps, TMT","enterprise services, it infrastructure, software development, technology consulting, technology development",Venture Capital-Backed,Startup,Venture Capital,216264-34P,,1,127148-32T,,27-Nov-2019,,,,,,,,1st Round,,,,Seed Round,Seed Round,,Venture Capital,,,,,,,,,,Completed,Startup,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Yuan RMB (CNY),"Shenzhen, China",Asia,East Asia,Shenzhen,Guangdong,,China,2019
110916-01T,59251-15,Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,"CloudTech & DevOps, Mobile, SaaS, TMT","ai support, business model, customer experience, customer self service, ecommerce enabler, market analysis, predictive self service, sales conversation, software development",Formerly VC-backed,Generating Revenue,Venture Capital,122451-13P,"University of Washington, Degree, Marketing",5,110916-01T,,29-Sep-2016,4.00,Estimated,10.83,14.83,Estimated,26.97%,9.80,3rd Round,Flat Round,0.56,,Seed Round,Seed Round,,Venture Capital,4.00,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,US Dollars (USD),"Seattle, WA",Americas,North America,Seattle,Washington,98101,United States,2012
57358-00T,59251-15,Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,"CloudTech & DevOps, Mobile, SaaS, TMT","ai support, business model, customer experience, customer self service, ecommerce enabler, market analysis, predictive self service, sales conversation, software development",Formerly VC-backed,Generating Revenue,Venture Capital,36602-83P,"Harvard Law School, JD (Doctor of Law), 1996; Notre Dame de Namur University, BS (Bachelor of Science), 1983, Electrical Engineering; University of California, Los Angeles (UCLA), Ph.D. (Doctor of Philosophy), 1993, Electrical Engineering; University of South Carolina, MS (Master of Science), 1985, Electrical Engineering",4,57358-00T,,14-Sep-2015,2.87,Actual,7.96,10.83,Actual,26.55%,5.80,2nd Round,Up Round,0.56,,Seed Round,Seed Round,,Venture Capital,2.87,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,13,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,US Dollars (USD),"Seattle, WA",Americas,North America,Seattle,Washington,98101,United States,2012
102662-11T,59251-15,Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,"CloudTech & DevOps, Mobile, SaaS, TMT","ai support, business model, customer experience, customer self service, ecommerce enabler, market analysis, predictive self service, sales conversation, software development",Formerly VC-backed,Generating Revenue,Venture Capital,36602-83P,"Harvard Law School, JD (Doctor of Law), 1996; Notre Dame de Namur University, BS (Bachelor of Science), 1983, Electrical Engineering; University of California, Los Angeles (UCLA), Ph.D. (Doctor of Philosophy), 1993, Electrical Engineering; University of South Carolina, MS (Master of Science), 1985, Electrical Engineering",6,102662-11T,,24-Oct-2017,0.04,Actual,,,,,9.84,4th Round,,,,Later Stage VC,,,Venture Capital,,Bridge,,,0.04,,,0.04,,Completed,Generating Revenue,Venture Capital-Backed,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,US Dollars (USD),"Seattle, WA",Americas,North America,Seattle,Washington,98101,United States,2012
93988-27T,184060-99,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"Business/Productivity Software, Media and Information Services (B2B)*","AdTech, CloudTech & DevOps, Marketing Tech, TMT","advertising analytics, advertising software, automated sales platform, crm software, online advertising software, product development system",Angel-Backed,Generating Revenue,Pre-venture,170455-51P,,1,93988-27T,,01-Aug-2017,,,,,,,,1st Round,,,,Seed Round,Seed Round,,Individual,,,,,,,,,,Completed,Generating Revenue,Angel-Backed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US Dollars (USD),"Wilmington, DE",Americas,North America,Wilmington,Delaware,19801,United States,2016
80805-61T,115222-96,Information Technology,Software,Business/Productivity Software,"Automation/Workflow Software, Business/Productivity Software*, Media and Information Services (B2B)","Artificial Intelligence & Machine Learning, CloudTech & DevOps, SaaS, TMT","enterprise intelligence, enterprise intelligence platform, inintegrated automation platform, integrated automation, integrated automation software",Venture Capital-Backed,Generating Revenue,Venture Capital,115922-62P,,1,80805-61T,,16-Jun-2015,7.99,Actual,,,,,7.99,1st Round,,,,Early Stage VC,,,Venture Capital,7.99,,,,,,,,,Completed,Startup,Venture Capital-Backed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,India Rupees (INR),"Singapore, Singapore",Asia,Southeast Asia,Singapore,,069899,Singapore,2015
109657-54T,115222-96,Information Technology,Software,Business/Productivity Software,"Automation/Workflow Software, Business/Productivity Software*, Media and Information Services (B2B)","Artificial Intelligence & Machine Learning, CloudTech & DevOps, SaaS, TMT","enterprise intelligence, enterprise intelligence platform, inintegrated automation platform, integrated automation, integrated automation software",Venture Capital-Backed,Generating Revenue,Venture Capital,115922-62P,,2,109657-54T,,30-Jul-2018,11.00,Actual,,,,,18.99,2nd Round,,,Series A,Early Stage VC,Series A,,Venture Capital,11.00,,,,,,,,,Completed,Startup,Venture Capital-Backed,200,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,Singapore Dollar (SGD),"Singapore, Singapore",Asia,Southeast Asia,Singapore,,069899,Singapore,2015
157967-11T,366545-71,Information Technology,Software,Internet Software,"Internet Software*, Software Development Applications","Big Data, CloudTech & DevOps, SaaS","ai driving application, application environment, distributed applications software, distribution management tool, program cluster",Venture Capital-Backed,Generating Revenue,Venture Capital,218362-33P,,2,157967-11T,,21-Oct-2020,40.00,Actual,175.00,215.00,Actual,18.60%,60.74,2nd Round,Up Round,1.33,Series B,Early Stage VC,Series B,,Venture Capital,40.00,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,45,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,US Dollars (USD),"Berkeley, CA",Americas,North America,Berkeley,California,94704-1693,United States,2019
128236-51T,366545-71,Information Technology,Software,Internet Software,"Internet Software*, Software Development Applications","Big Data, CloudTech & DevOps, SaaS","ai driving application, application environment, distributed applications software, distribution management tool, program cluster",Venture Capital-Backed,Generating Revenue,Venture Capital,218362-33P,,1,128236-51T,02-Aug-2019,18-Feb-2020,20.74,Actual,60.00,80.74,Actual,25.69%,20.74,1st Round,,0.66,Series A,Early Stage VC,Series A,,Venture Capital,20.74,,,,,,,,,Completed,Startup,Venture Capital-Backed,12,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,US Dollars (USD),"Berkeley, CA",Americas,North America,Berkeley,California,94704-1693,United States,2019
68940-28T,157214-98,Information Technology,Software,Software Development Applications,"Other Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","api platform, apiserum, application program interface, developer tools",Formerly VC-backed,Out of Business,Venture Capital,73783-00P,"ESADE Business School, MBA (Master of Business Administration), 2009, Business; University of Sydney, Degree, 2003, Computer Science",2,68940-28T,29-Feb-2016,14-Apr-2016,0.79,Actual,2.92,3.71,Actual,21.31%,0.79,1st Round,,3.04,,Early Stage VC,,,Venture Capital,0.79,,,,,,,,,Completed,Startup,Venture Capital-Backed,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Euros (EUR),"London, United Kingdom",Europe,Western Europe,London,England,,United Kingdom,2015
68941-90T,157214-98,Information Technology,Software,Software Development Applications,"Other Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","api platform, apiserum, application program interface, developer tools",Formerly VC-backed,Out of Business,Venture Capital,73783-00P,"ESADE Business School, MBA (Master of Business Administration), 2009, Business; University of Sydney, Degree, 2003, Computer Science",1,68941-90T,,09-Sep-2015,,,,,,,,,,,,Accelerator/Incubator,,,Other,,,,,,,,,,Completed,Startup,Accelerator/Incubator Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Euros (EUR),"London, United Kingdom",Europe,Western Europe,London,England,,United Kingdom,2015
60028-39T,83907-28,Information Technology,Software,Software Development Applications,"Automation/Workflow Software, Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, SaaS, TMT","api monitoring, api monitoring software, api testing, api testing and monitoring, api testing platform, api testing suites as a platform, application programming interface",Formerly VC-backed,Generating Revenue,Venture Capital,118302-04P,"University of New Hampshire, BS (Bachelor of Science), 2003, Business Administration",1,60028-39T,,05-Jan-2015,0.04,Actual,,,,,0.04,,,,,Accelerator/Incubator,,,Other,0.04,,,,,,,,,Completed,Generating Revenue,Accelerator/Incubator Backed,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,US Dollars (USD),"New York, NY",Americas,North America,New York,New York,10017,United States,2014
100466-56T,83907-28,Information Technology,Software,Software Development Applications,"Automation/Workflow Software, Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, SaaS, TMT","api monitoring, api monitoring software, api testing, api testing and monitoring, api testing platform, api testing suites as a platform, application programming interface",Formerly VC-backed,Generating Revenue,Venture Capital,118302-04P,"University of New Hampshire, BS (Bachelor of Science), 2003, Business Administration",2,100466-56T,,17-Nov-2017,,,,,,,0.04,1st Round,,,,Early Stage VC,,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,US Dollars (USD),"New York, NY",Americas,North America,New York,New York,10017,United States,2014
121431-79T,83907-28,Information Technology,Software,Software Development Applications,"Automation/Workflow Software, Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, SaaS, TMT","api monitoring, api monitoring software, api testing, api testing and monitoring, api testing platform, api testing suites as a platform, application programming interface",Formerly VC-backed,Generating Revenue,Venture Capital,118302-04P,"University of New Hampshire, BS (Bachelor of Science), 2003, Business Administration",3,121431-79T,,26-Mar-2019,,,,,,,0.04,,,,,Accelerator/Incubator,,,Other,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,US Dollars (USD),"New York, NY",Americas,North America,New York,New York,10017,United States,2014
55663-48T,57378-16,Information Technology,Software,Software Development Applications,"Application Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","api blueprint, api design, api development, api testing, application programming interface, cloudtech and devops, monitor apis, testing software",Formerly VC-backed,Generating Revenue,Venture Capital,50293-09P,"BS (Bachelor of Science), 2005, Computer Science; Degree",4,55663-48T,,20-Jan-2015,6.80,Actual,,,,,8.55,3rd Round,,,Series A,Early Stage VC,Series A,,Venture Capital,6.80,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,30,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,California,94103,United States,2011
112034-17T,57378-16,Information Technology,Software,Software Development Applications,"Application Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","api blueprint, api design, api development, api testing, application programming interface, cloudtech and devops, monitor apis, testing software",Formerly VC-backed,Generating Revenue,Venture Capital,50293-09P,"BS (Bachelor of Science), 2005, Computer Science; Degree",5,112034-17T,,01-Jan-2016,,,,,,,8.55,4th Round,,,,Early Stage VC,,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,California,94103,United States,2011
